year,car_name,car_price,car_num,car_img
2022, 宋PLUS新能源  ,12.98-18.98万,"454,983辆",https://img3.bitautoimg.com/autoalbum/files/20241203/242/202412036834322044824297172_6.png
2022, Model Y  ,24.99-35.49万,"315,314辆",https://img4.bitautoimg.com/autoalbum/files/20240430/762/202404304470447135976235644_6.png
2022, 哈弗H6  ,9.89-14.69万,"239,772辆",https://img3.bitautoimg.com/autoalbum/files/20240416/41/202404163973324755304156027_6.png
2022, 长安CS75PLUS  ,12.19-14.99万,"228,889辆",https://img3.bitautoimg.com/autoalbum/files/20241009/131/202410094056846207213175650_6.png
2022, 本田CR-V  ,18.59-26.39万,"213,935辆",https://img2.bitautoimg.com/autoalbum/files/20221202/572/20221202788996122857266696_6.png
2022, 元PLUS  ,11.98-14.78万,"167,220辆",https://img1.bitautoimg.com/autoalbum/files/20240402/505/202404023230202753650519356_6.png
2022, RAV4荣放  ,16.98-26.38万,"165,278辆",https://img2.bitautoimg.com/autoalbum/files/20230505/179/20230505372325257917932314_6.png
2022, 长安CS55PLUS  ,9.29-12.59万,"151,876辆",https://img2.bitautoimg.com/autoalbum/files/20230608/898/202306086113623603189884868_6.png
2022, 逍客  ,12.59-17.49万,"150,621辆",https://img1.bitautoimg.com/autoalbum/files/20241105/905/202411053641079915590572486_6.png
2022, 奔驰GLC  ,42.78-53.13万,"148,797辆",https://img2.bitautoimg.com/autoalbum/files/20230418/790/202304183141179213279087864_6.png
2022, 唐新能源  ,17.98-26.98万,"148,585辆",https://img1.bitautoimg.com/autoalbum/files/20240402/768/202404023184202650076815957_6.png
2022, 途观L  ,18.68-26.68万,"143,385辆",https://img1.bitautoimg.com/autoalbum/files/20240605/445/202406054394757927044523813_6.png
2022, 威兰达  ,17.38-26.48万,"135,968辆",https://img1.bitautoimg.com/autoalbum/files/20230424/173/202304242240230329417337096_6.png
2022, 奥迪Q5L  ,39.88-48.88万,"133,764辆",https://img4.bitautoimg.com/autoalbum/files/20241205/145/202412054056339055914566491_6.png
2022, 红旗HS5  ,18.38-24.98万,"127,632辆",https://img1.bitautoimg.com/autoalbum/files/20241108/765/202411086096106771276533040_6.png
2022, 星越L  ,13.72-18.52万,"127,243辆",https://img4.bitautoimg.com/autoalbum/files/20240925/668/202409258110725689866810760_6.png
2022, 皓影  ,18.59-26.39万,"121,947辆",https://img3.bitautoimg.com/autoalbum/files/20230315/342/20230315565884074534217388_6.png
2022, AION Y  ,10.98-18.98万,"120,585辆",https://img1.bitautoimg.com/autoalbum/files/20230912/187/202309122237449984118730579_6.png
2022, 途岳  ,12.59-21.66万,"120,561辆",https://img4.bitautoimg.com/autoalbum/files/20240828/712/202408285015482789671247883_6.png
2022, 瑞虎8  ,10.78-16.19万,"120,506辆",https://img3.bitautoimg.com/autoalbum/files/20241016/314/202410163136907001231405768_6.png
2022, 宝马X3  ,39.96-48.69万,"114,863辆",https://img4.bitautoimg.com/autoalbum/files/20241206/55/202412062918346948905547477_6.png
2022, 缤智  ,11.99-13.99万,"108,961辆",https://img3.bitautoimg.com/autoalbum/files/20221208/631/202212083962047892963152980_6.png
2022, 长安欧尚X5  ,7.59-10.99万,"105,462辆",https://img1.bitautoimg.com/autoalbum/files/20221125/229/202211251327933952322948973_6.png
2022, 昂科威  ,19.69-25.99万,"103,602辆",https://img3.bitautoimg.com/autoalbum/files/20240903/595/202409033458535669159593487_6.png
2022, 本田XR-V  ,11.99-13.99万,"101,213辆",https://img3.bitautoimg.com/autoalbum/files/20230912/748/202309123171450331374827884_6.png
2022, 坦克300  ,19.98-22.68万,"100,864辆",https://img2.bitautoimg.com/autoalbum/files/20230926/289/202309263929572391028914153_6.png
2022, 缤越  ,6.68-10.38万,"98,695辆",https://img2.bitautoimg.com/autoalbum/files/20241127/748/202411275680271260174867699_6.png
2022, 哪吒V  停售 ,7.39-12.38万,"95,529辆",https://img2.bitautoimg.com/autoalbum/files/20221206/22/202212061488030925802210376_6.png
2022, 锋兰达  ,12.58-18.48万,"94,464辆",https://img4.bitautoimg.com/autoalbum/files/20230424/420/202304242164230302242025495_6.png
2022, 捷途X70  ,8.79-17.09万,"92,589辆",https://img4.bitautoimg.com/autoalbum/files/20230302/765/20230302869772001676555851_6.png
2022, 哈弗大狗  ,12.39-14.99万,"92,331辆",https://img1.bitautoimg.com/autoalbum/files/20230811/659/202308116566174700365962694_6.png
2022, 探岳  ,20.79-25.99万,"90,589辆",https://img4.bitautoimg.com/autoalbum/files/20231123/355/202311233298072599435587803_6.png
2022, 探歌  ,15.89-17.99万,"90,433辆",https://img3.bitautoimg.com/autoalbum/files/20241121/868/202411216601218142986836161_6.png
2022, 汉兰达  ,24.98-32.58万,"85,835辆",https://img1.bitautoimg.com/autoalbum/files/20240628/227/202406281279955633822791635_6.png
2022, 传祺GS4  ,11.58-12.68万,"84,554辆",https://img2.bitautoimg.com/autoalbum/files/20240418/510/202404184492343097251064752_6.png
2022, 宝马X1  ,28.89-40.99万,"83,123辆",https://img1.bitautoimg.com/autoalbum/files/20231220/144/20231220256303477214438467_6.png
2022, 卡罗拉锐放  ,12.98-18.48万,"82,342辆",https://img1.bitautoimg.com/autoalbum/files/20230912/441/202309123308450459244172135_6.png
2022, 五菱星辰  ,6.88-10.98万,"80,463辆",https://img2.bitautoimg.com/autoalbum/files/20230228/446/202302284688757580244689271_6.png
2022, 理想ONE  停售 ,34.98万,"78,791辆",https://img1.bitautoimg.com/autoalbum/files/20220930/25/202209304417452769002502839_6.png
2022, 博越  ,9.28-12.58万,"75,396辆",https://img1.bitautoimg.com/autoalbum/files/20240731/51/202407312137241573205151755_6.png
2022, 荣威RX5  ,9.99-15.59万,"72,269辆",https://img2.bitautoimg.com/autoalbum/files/20221125/24/202211251320933803502463108_6.png
2022, 捷达VS5  ,8.79-12.19万,"71,656辆",https://img4.bitautoimg.com/autoalbum/files/20240327/758/202403273732151540775826154_6.png
2022, 哈弗M6  ,7.19-9.29万,"69,954辆",https://img1.bitautoimg.com/autoalbum/files/20221125/328/202211252085935780632851592_6.png
2022, 奥迪Q3  ,27.98-33.59万,"67,730辆",https://img2.bitautoimg.com/autoalbum/files/20230811/814/202308116702174830781437365_6.png
2022, 现代ix35  ,12.18-16.78万,"64,148辆",https://img3.bitautoimg.com/autoalbum/files/20231012/689/202310124997710790268959369_6.png
2022, 沃尔沃XC60  ,39.69-45.89万,"61,027辆",https://img2.bitautoimg.com/autoalbum/files/20241206/225/202412063815347562822506555_6.png
2022, 奔驰GLB  ,31.19-36.79万,"59,035辆",https://img3.bitautoimg.com/autoalbum/files/20231205/932/202312053699175832993286013_6.png
2022, 问界M5  ,24.98-27.98万,"56,855辆",https://img2.bitautoimg.com/autoalbum/files/20240423/224/202404235413386277222464739_6.png
2022, 长安CS35PLUS  ,7.99-9.99万,"54,640辆",https://img3.bitautoimg.com/autoalbum/files/20230719/986/202307194702975193698673551_6.png
2022, 长安UNI-T  ,11.59-13.99万,"54,592辆",https://img1.bitautoimg.com/autoalbum/files/20230317/867/2023031714183904401386755539_6.png
2022, 传祺GS8  ,15.98-25.08万,"53,963辆",https://img1.bitautoimg.com/autoalbum/files/20230719/820/202307193591974861082057985_6.png
2022, 瑞虎7  ,7.49-13.99万,"53,659辆",https://img4.bitautoimg.com/autoalbum/files/20241127/84/202411275649270642108445276_6.png
2022, 长安欧尚X7 PLUS  ,9.39-12.89万,"52,603辆",https://img1.bitautoimg.com/autoalbum/files/20230612/935/202306126674656242393527092_6.png
2022, 哪吒U  ,15.98万,"50,927辆",https://img4.bitautoimg.com/autoalbum/files/20230222/399/202302224232705261739975990_6.png
2022, 宝马X5  ,61.50-83.00万,"50,220辆",https://img1.bitautoimg.com/autoalbum/files/20240105/146/202401051457442291414692885_6.png
2022, 途昂  ,24.90-40.50万,"49,965辆",https://img1.bitautoimg.com/autoalbum/files/20231123/575/202311233579072886957538535_6.png
